case,problem,cores,singlecore_makespan,makespan,speedup,added_copy_bytes,label,cache_hit_rate,parallelism,n_elig
case_088,1,2,243623,184078,1.3235,1729370,v33_bandref_w14,0,7.34,3309
case_088,1,3,243623,157828,1.5436,1729370,v33_bandref_w14,0,7.34,3309
case_088,1,4,243623,137682,1.7695,1965530,v32_bandcomp_w16,0,7.34,3309
case_088,1,5,243623,124671,1.9541,1965530,v32_bandcomp_w16,0,7.34,3309
case_088,2,2,243623,151590,1.6071,2065766,v35_bandcomp_w2,0,7.34,3309
case_088,2,3,243623,125984,1.9338,1440592,v34_bandref_w12,0,7.34,3309
case_088,2,4,243623,108155,2.2525,1679246,v34_bandref_w12,0,7.34,3309
case_088,2,5,243623,102207,2.3836,1811456,v32_bandcomp_w16,0,7.34,3309
case_088,3,2,243623,150132,1.6227,2065766,v35_bandcomp_w2,0.15918827978366254,7.34,3309
case_088,3,3,243623,122585,1.9874,3164512,v35_bandcomp_w2,0.20807137804258372,7.34,3309
case_088,3,4,243623,105449,2.3103,1679246,v34_bandref_w12,0.1995402455257725,7.34,3309
case_088,3,5,243623,101904,2.3907,1811456,v32_bandcomp_w16,0.058077233047644825,7.34,3309
case_089,1,2,693092,357608,1.9381,4068480,v17_wave_w8,0,35.83,5120
case_089,1,3,693092,278924,2.4849,954880,v39_slack_mult2-slack0.2,0,35.83,5120
case_089,1,4,693092,199568,3.473,4545920,v17_wave_w8,0,35.83,5120
case_089,1,5,693092,171792,4.0345,4784640,v17_wave_w8,0,35.83,5120
case_089,2,2,693092,295856,2.3427,238720,v17_wave_w2,0,35.83,5120
case_089,2,3,693092,208395,3.3259,1399040,struct_wave,0,35.83,5120
case_089,2,4,693092,148856,4.6561,716160,v17_wave_w2,0,35.83,5120
case_089,2,5,693092,120170,5.7676,954880,v17_wave_w2,0,35.83,5120
case_089,3,2,693092,295856,2.3427,238720,v17_wave_w2,0.0,35.83,5120
case_089,3,3,693092,208395,3.3259,1399040,struct_wave,0.14424224343675418,35.83,5120
case_089,3,4,693092,148856,4.6561,716160,v17_wave_w2,0.0,35.83,5120
case_089,3,5,693092,120170,5.7676,954880,v17_wave_w2,0.0,35.83,5120
case_090,1,2,1178363,548389,2.1488,6397440,struct_wave,0,13.56,1664
case_090,1,3,1178363,444209,2.6527,8615040,struct_wave,0,13.56,1664
case_090,1,4,1178363,389297,3.0269,10763520,struct_wave,0,13.56,1664
case_090,1,5,1178363,382967,3.0769,12912000,struct_wave,0,13.56,1664
case_090,2,2,1178363,427622,2.7556,2997504,v35_bandcomp_w2,0,13.56,1664
case_090,2,3,1178363,316842,3.7191,5286144,v35_bandcomp_w3,0,13.56,1664
case_090,2,4,1178363,279384,4.2177,7249152,v32_bandcomp_w4,0,13.56,1664
